game_urn,player_urn,seq_idx,event_date_time,game_time,winning_team,player,team_urn,team,champion,level,alive,health,current_gold,total_gold,gold_per_second,pos_x,pos_y,minions_killed,neutral_minions_killed,neutral_minions_killed_your_jungle,neutral_minions_killed_enemy_jungle,champs_killed,deaths,assists,wards_placed,wards_killed,vision_score,total_damage_dealt_champions,total_damage_taken,item_1_id,item_2_id,item_3_id,item_4_id,item_5_id,item_6_id,item_7_id
live:lol:riot:map:esportstmnt01-3373466,live:lol:riot:player:051c9431-16d0-3872-98c4-c36fb164d5fd,16,6/14/2023 9:13 PM,138,,Fudge,live:lol:riot:team:98767991877340524,C9,KSante,1,True,610,500,500,0,554,581,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
live:lol:riot:map:esportstmnt01-3373466,live:lol:riot:player:7f12e011-7e41-3b24-a73e-4b2ac311122e,16,6/14/2023 9:13 PM,138,,Blaber,live:lol:riot:team:98767991877340524,C9,Kindred,1,True,610,500,500,0,593,464,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
live:lol:riot:map:esportstmnt01-3373466,live:lol:riot:player:8146eacb-7313-3639-ac26-05602336c394,16,6/14/2023 9:13 PM,138,,EMENES,live:lol:riot:team:98767991877340524,C9,Gragas,1,True,670,500,500,0,557,345,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
live:lol:riot:map:esportstmnt01-3373466,live:lol:riot:player:571444c9-662e-38fc-b857-4fac1f44a1a8,16,6/14/2023 9:13 PM,138,,Berserker,live:lol:riot:team:98767991877340524,C9,Zeri,1,True,630,500,500,0,458,271,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
live:lol:riot:map:esportstmnt01-3373466,live:lol:riot:player:c5b97127-7d85-3d54-ab35-e75d74488aa3,16,6/14/2023 9:13 PM,138,,Zven,live:lol:riot:team:98767991877340524,C9,Milio,1,True,560,500,500,0,335,269,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
live:lol:riot:map:esportstmnt01-3373466,live:lol:riot:player:5b83854f-e384-3428-ba34-6e138b1619c7,16,6/14/2023 9:13 PM,138,,Licorice,live:lol:riot:team:99294153824386385,GG,Ornn,1,True,660,500,500,0,14500,14511,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
live:lol:riot:map:esportstmnt01-3373466,live:lol:riot:player:6d68f827-0469-30af-878b-3c6c718e8d5a,16,6/14/2023 9:13 PM,138,,River,live:lol:riot:team:99294153824386385,GG,Jax,1,True,665,500,500,0,14539,14394,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
live:lol:riot:map:esportstmnt01-3373466,live:lol:riot:player:f71f63d9-8116-3f70-8f1d-473f68f07653,16,6/14/2023 9:13 PM,138,,Gori,live:lol:riot:team:99294153824386385,GG,Ahri,1,True,590,500,500,0,14503,14275,0,0,0,0,0,0,0,0,0,0,0,0,2419,,,,,,
live:lol:riot:map:esportstmnt01-3373466,live:lol:riot:player:da579c1d-57b1-3e2e-824c-f6ee9ada19dc,16,6/14/2023 9:13 PM,138,,Stixxay,live:lol:riot:team:99294153824386385,GG,Lucian,1,True,641,500,500,0,14404,14201,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
live:lol:riot:map:esportstmnt01-3373466,live:lol:riot:player:37643ce5-d0ef-31f1-a000-ac08512edb29,16,6/14/2023 9:13 PM,138,,huhi,live:lol:riot:team:99294153824386385,GG,Nami,1,True,560,500,500,0,14281,14199,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
live:lol:riot:map:esportstmnt01-3373466,live:lol:riot:player:051c9431-16d0-3872-98c4-c36fb164d5fd,17,6/14/2023 9:13 PM,1008,,Fudge,live:lol:riot:team:98767991877340524,C9,KSante,1,True,610,500,500,0,603,611,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
live:lol:riot:map:esportstmnt01-3373466,live:lol:riot:player:7f12e011-7e41-3b24-a73e-4b2ac311122e,17,6/14/2023 9:13 PM,1008,,Blaber,live:lol:riot:team:98767991877340524,C9,Kindred,1,True,610,500,500,0,662,285,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
live:lol:riot:map:esportstmnt01-3373466,live:lol:riot:player:8146eacb-7313-3639-ac26-05602336c394,17,6/14/2023 9:13 PM,1008,,EMENES,live:lol:riot:team:98767991877340524,C9,Gragas,1,True,670,500,500,0,362,135,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
live:lol:riot:map:esportstmnt01-3373466,live:lol:riot:player:571444c9-662e-38fc-b857-4fac1f44a1a8,17,6/14/2023 9:13 PM,1008,,Berserker,live:lol:riot:team:98767991877340524,C9,Zeri,1,True,630,500,500,0,130,401,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
live:lol:riot:map:esportstmnt01-3373466,live:lol:riot:player:c5b97127-7d85-3d54-ab35-e75d74488aa3,17,6/14/2023 9:13 PM,1008,,Zven,live:lol:riot:team:98767991877340524,C9,Milio,1,True,560,500,500,0,298,675,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
live:lol:riot:map:esportstmnt01-3373466,live:lol:riot:player:5b83854f-e384-3428-ba34-6e138b1619c7,17,6/14/2023 9:13 PM,1008,,Licorice,live:lol:riot:team:99294153824386385,GG,Ornn,1,True,660,500,500,0,14103,14195,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
live:lol:riot:map:esportstmnt01-3373466,live:lol:riot:player:6d68f827-0469-30af-878b-3c6c718e8d5a,17,6/14/2023 9:13 PM,1008,,River,live:lol:riot:team:99294153824386385,GG,Jax,1,True,665,500,500,0,14426,14170,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
